Citation,Host_Species,Host_Family,Host_Order,HS,WNV_Strain,Virus_Isolate_Date,Isolate_Location,Virus_Genotype,Virus_Dose,Host_Isolate_Location,Sample_Size_Original,Sample_Size_Death,Day,Titer
Grubaugh et al. 2015,American crow,Corvidae,Passeriformes,American crow,NY99,2000,New York,B,1000,Colorado,4,1,7,1.7
Grubaugh et al. 2015,American crow,Corvidae,Passeriformes,American crow,NY99,2000,New York,B,1000,Colorado,4,0,8,
Grubaugh et al. 2015,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,2000,New York,B,1000,Colorado,4,4,1,2.276
Grubaugh et al. 2015,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,2000,New York,B,1000,Colorado,4,4,2,3.522
Grubaugh et al. 2015,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,2000,New York,B,1000,Colorado,4,4,3,5.016
Grubaugh et al. 2015,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,2000,New York,B,1000,Colorado,4,4,4,5.941
Grubaugh et al. 2015,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,2000,New York,B,1000,Colorado,4,3,5,4.757
Grubaugh et al. 2015,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,2000,New York,B,1000,Colorado,4,3,6,2.201
Grubaugh et al. 2015,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,2000,New York,B,1000,Colorado,4,3,7,1.7
Grubaugh et al. 2015,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,2000,New York,B,1000,Colorado,4,2,8,
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,4,1,1.7
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,4,2,4.279
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,4,3,4.241
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,4,4,2.395
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,4,5,1.7
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,4,6,1.7
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,4,7,
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,4,8,
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,4,4,1,1.7
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,4,4,2,3.497
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,4,4,3,4.774
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,4,4,4,5.045
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,4,4,5,5.267
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,4,4,6,6.289
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,4,4,7,
